provider_location_guid,loc_phone,loc_name,loc_admin_street1,loc_admin_city,loc_admin_state,loc_admin_zip,web_address,pre_screen,insurance_accepted,walkins_accepted,provider_notes,searchable_name,in_stock,quantity_last_updated,opening_hours
0a2bcf19-9d62-41e0-b22e-cc6b6c371b63,910-278-6050,Thomas Drugs #3438365,7917 E OAK ISLAND DR,Oak Island,NC,28465,Not Available,Not Available,Not Available,Not Available,Not Available,Flu Shot (Egg free),False,2023-01-09,sunday_hours:  nan  |  monday_hours:  nan  |  tuesday_hours:  nan  |  wednesday_hours:  nan  |  thursday_hours:  nan  |  friday_hours:  nan  |  saturday_hours:  nan
0a2bcf19-9d62-41e0-b22e-cc6b6c371b63,910-278-6050,Thomas Drugs #3438365,7917 E OAK ISLAND DR,Oak Island,NC,28465,Not Available,Not Available,Not Available,Not Available,Not Available,Flu Shot,False,2022-12-12,sunday_hours:  nan  |  monday_hours:  nan  |  tuesday_hours:  nan  |  wednesday_hours:  nan  |  thursday_hours:  nan  |  friday_hours:  nan  |  saturday_hours:  nan
1ce4b552-a522-4570-9962-acd4a8f02b9a,910-893-2986,Cape Fear LTC Pharmacy LLC #1,185 Pine State St,Lillington,NC,27546,Not Available,Not Available,Not Available,Not Available,Not Available,"Flu Shot (65+, high-dose or adjuvanted)",True,2023-03-10,sunday_hours:  nan  |  monday_hours:  nan  |  tuesday_hours:  nan  |  wednesday_hours:  nan  |  thursday_hours:  nan  |  friday_hours:  nan  |  saturday_hours:  nan
1ce4b552-a522-4570-9962-acd4a8f02b9a,910-893-2986,Cape Fear LTC Pharmacy LLC #1,185 Pine State St,Lillington,NC,27546,Not Available,Not Available,Not Available,Not Available,Not Available,Flu Shot,True,2023-03-10,sunday_hours:  nan  |  monday_hours:  nan  |  tuesday_hours:  nan  |  wednesday_hours:  nan  |  thursday_hours:  nan  |  friday_hours:  nan  |  saturday_hours:  nan
1ce4b552-a522-4570-9962-acd4a8f02b9a,910-893-2986,Cape Fear LTC Pharmacy LLC #1,185 Pine State St,Lillington,NC,27546,Not Available,Not Available,Not Available,Not Available,Not Available,Flu Shot (Egg free),True,2023-03-10,sunday_hours:  nan  |  monday_hours:  nan  |  tuesday_hours:  nan  |  wednesday_hours:  nan  |  thursday_hours:  nan  |  friday_hours:  nan  |  saturday_hours:  nan
0a2bcf19-9d62-41e0-b22e-cc6b6c371b63,910-278-6050,Thomas Drugs #3438365,7917 E OAK ISLAND DR,Oak Island,NC,28465,Not Available,Not Available,Not Available,Not Available,Not Available,"Flu Shot (65+, high-dose or adjuvanted)",True,2023-03-14,sunday_hours:  nan  |  monday_hours:  nan  |  tuesday_hours:  nan  |  wednesday_hours:  nan  |  thursday_hours:  nan  |  friday_hours:  nan  |  saturday_hours:  nan
ef751672-18e1-41e2-ae41-2cb1d03c8842,704-483-6759,"CVS Pharmacy, Inc. #05588",6050 SOUTH NC 16 BUSINESS HIGHWAY,DENVER,NC,28037,https://www.cvs.com/store-locator/details-directions/005588,https://www.cvs.com/immunizations/get-vaccinated,True,True,It is highly recommended to make an appointment for pediatric (5-11 years old) COVID-19 vaccinations.,Flu Shot (Egg free),False,2023-04-06,sunday_hours:  10:00AM-06:00PM  |  monday_hours:  09:00AM-08:00PM  |  tuesday_hours:  09:00AM-08:00PM  |  wednesday_hours:  09:00AM-08:00PM  |  thursday_hours:  09:00AM-08:00PM  |  friday_hours:  09:00AM-08:00PM  |  saturday_hours:  10:00AM-06:00PM
1f61a3d4-8151-46f0-a08c-a5f4d7e151df,828-253-4350,"CVS Pharmacy, Inc. #07588",612 MERRIMON AVE.,ASHEVILLE,NC,28804,https://www.cvs.com/store-locator/details-directions/007588,https://www.cvs.com/immunizations/get-vaccinated,True,True,It is highly recommended to make an appointment for pediatric (5-11 years old) COVID-19 vaccinations.,Flu Shot,False,2023-01-14,sunday_hours:  10:00AM-06:00PM  |  monday_hours:  09:00AM-08:00PM  |  tuesday_hours:  09:00AM-08:00PM  |  wednesday_hours:  09:00AM-08:00PM  |  thursday_hours:  09:00AM-08:00PM  |  friday_hours:  09:00AM-08:00PM  |  saturday_hours:  09:00AM-06:00PM
80c23b84-3d63-4e38-a58c-714248e32af3,919-401-4664,"CVS Pharmacy, Inc. #02710",6911 GARRETT RD.,DURHAM,NC,27707,https://www.cvs.com/store-locator/details-directions/002710,https://www.cvs.com/immunizations/get-vaccinated,True,True,It is highly recommended to make an appointment for pediatric (5-11 years old) COVID-19 vaccinations.,Flu Shot,False,2023-01-14,sunday_hours:  10:00AM-06:00PM  |  monday_hours:  09:00AM-08:00PM  |  tuesday_hours:  09:00AM-08:00PM  |  wednesday_hours:  09:00AM-08:00PM  |  thursday_hours:  09:00AM-08:00PM  |  friday_hours:  09:00AM-08:00PM  |  saturday_hours:  09:00AM-06:00PM
6bf5ea9b-b4c1-426b-9a41-b30b7ce22cde,919-553-5945,Food Lion #1685,50 Neuse River Parkway Ste. 11,Clayton,NC,27527,https://foodlionsched.rxtouch.com/rbssched/program/wellness,https://foodlionsched.rxtouch.com/rbssched/program/wellness,True,True,Not Available,Flu Shot (Egg free),False,2023-04-07,sunday_hours:  nan  |  monday_hours:  9:00AM-7:00PM  |  tuesday_hours:  9:00AM-7:00PM  |  wednesday_hours:  9:00AM-7:00PM  |  thursday_hours:  9:00AM-7:00PM  |  friday_hours:  9:00AM-7:00PM  |  saturday_hours:  9:00AM-4:00PM
